name,longitude,latitude
Hyde Park Corner,-0.152474,51.502584
Ickenham,-0.44158,51.560825
Ilford,0.068685,51.559142
Imperial Wharf,-0.182838,51.474939
Island Gardens,-0.010493,51.48795
Isleworth,-0.337329,51.475037
Kenley,-0.10122,51.3246
Kennington,-0.105071,51.488662
Kensal Green,-0.224713,51.530524
Kensal Rise,-0.220821,51.534215
Kensington (Olympia),-0.210379,51.49788
Kent House,-0.045816,51.412718
Kentish Town,-0.140471,51.55001
Kentish Town West,-0.146756,51.546548
Kenton,-0.315217,51.581496
Kew Bridge,-0.288846,51.490005
Kew Gardens,-0.285381,51.476789
Kidbrooke,0.0283,51.46269
Kilburn,-0.204633,51.546944
Kilburn High Road,-0.191113,51.537268
Kilburn Park,-0.193966,51.535136
King George V,0.062206,51.502009
King Henry's Drive,-0.020265,51.345364
King's Cross,-0.122756,51.530798
Kings Cross St. Pancras,-0.123872,51.530312
Kingsbury,-0.278602,51.584877
Kingston,-0.301141,51.412642
Kingswood,-0.211233,51.294723
Knightsbridge,-0.160664,51.501355
Knockholt,0.130831,51.345752
Ladbroke Grove,-0.210198,51.517211
Ladywell,-0.019244,51.456192
Lambeth North,-0.111768,51.49913
Lancaster Gate,-0.17543,51.511891
Langdon Park,-0.015214,51.518884
Latimer Road,-0.21746,51.513958
Lea Bridge,-0.036683,51.566636
Lebanon Road,-0.084974,51.375199
Lee,0.013365,51.449459
Leicester Square,-0.128242,51.511291
Lewisham,-0.012433,51.464881
Leyton,-0.006465,51.558132
Leyton Midland Road,-0.008066,51.569364
Leytonstone,0.00914,51.568522
Leytonstone High Road,0.008254,51.563807
Limehouse,-0.03938,51.512312
Liverpool Street,-0.08225,51.517598
Lloyd Park,-0.080746,51.364276
London Bridge,-0.086006,51.504674
London City Airport,0.047873,51.50369
London Fields,-0.0577,51.540719
Loughborough Junction,-0.102497,51.466679
Loughton,0.055279,51.64157
Lower Sydenham,-0.03333,51.424847
Maida Vale,-0.185433,51.529995
Malden Manor,-0.26112,51.38461
Manor House,-0.095685,51.570747
Manor Park,0.045724,51.552854
Mansion House,-0.094198,51.512092
Marble Arch,-0.158571,51.513965
Maryland,0.005682,51.545668
Marylebone,-0.163493,51.522397
Maze Hill,0.003205,51.483014
Merton Park,-0.201342,51.413392
Mile End,-0.032666,51.525311
Mill Hill Broadway,-0.249537,51.612871
Mill Hill East,-0.209896,51.608317
Mitcham,-0.170872,51.397489
Mitcham Eastfields,-0.154002,51.408384
Mitcham Junction,-0.157437,51.393043
Monument,-0.086188,51.51063
Moor Park,-0.432913,51.629931
Moorgate,-0.089018,51.518437
Morden,-0.194852,51.402186
Morden Road,-0.192806,51.408872
Morden South,-0.200302,51.396308
Mornington Crescent,-0.138744,51.534362
Mortlake,-0.267203,51.468168
Motspur Park,-0.23944,51.39532
Mottingham,0.050324,51.439825
Mudchute,-0.01496,51.491236
Neasden,-0.250115,51.554628
New Addington,-0.017383,51.342591
New Barnet,-0.17297,51.648537
New Beckenham,-0.035305,51.416706
New Cross,-0.032279,51.476429
New Cross Gate,-0.039529,51.475265
New Eltham,0.070445,51.437691
New Malden,-0.256218,51.403556
New Southgate,-0.14301,51.614094
Newbury Park,0.090303,51.575638
Norbiton,-0.2842,51.411909
Norbury,-0.122799,51.411189
North Acton,-0.25973,51.523432
North Dulwich,-0.087919,51.454482
North Ealing,-0.288994,51.517622
North Greenwich,0.003586,51.500255
North Harrow,-0.362633,51.584631
North Sheen,-0.286397,51.46542
North Wembley,-0.303948,51.562396
Northfields,-0.315065,51.500492
Northolt,-0.368441,51.548213
Northolt Park,-0.359434,51.557619
Northumberland Park,-0.054132,51.602016
Northwick Park,-0.318199,51.578509
Northwood,-0.423838,51.611214
Northwood Hills,-0.409311,51.600803
Norwood Junction,-0.07521,51.396954
Notting Hill Gate,-0.195922,51.509375
Nunhead,-0.05368,51.46658
Oakleigh Park,-0.166195,51.637676
Oakwood,-0.131854,51.647638
Ockendon,0.290483,51.52199
Old Street,-0.087623,51.525581
Orpington,0.089029,51.37352
Osterley,-0.352096,51.481217
Oval,-0.113321,51.481413
Oxford Circus,-0.140836,51.515223
Paddington,-0.175737,51.515394
Palmers Green,-0.110273,51.618787
Park Royal,-0.284929,51.526834
Parsons Green,-0.201124,51.47496
Peckham Rye,-0.069984,51.469511
Penge East,-0.054495,51.419975
Penge West,-0.060646,51.418063
Perivale,-0.32307,51.536342
Petts Wood,0.07448,51.388599
Phipps Bridge,-0.182297,51.403377
Piccadilly Circus,-0.133712,51.509697
Pimlico,-0.133108,51.489553
Pinner,-0.381224,51.592362
Plaistow,0.017781,51.531288
Plumstead,0.0843,51.489792
Ponders End,-0.034525,51.642731
Pontoon Dock,0.033326,51.502216
Poplar,-0.017275,51.507588
Preston Road,-0.294972,51.572104
Prince Regent,0.033489,51.509435
Pudding Mill Lane,-0.012769,51.534328
Purfleet,0.236775,51.481173
Purley,-0.113614,51.337364
Purley Oaks,-0.098815,51.346989
Putney,-0.216603,51.460953
Putney Bridge,-0.209365,51.467865
Queens Park,-0.204798,51.534313
Queens Road Peckham,-0.057355,51.474285
Queensbury,-0.286332,51.593883
Queenstown Road,-0.147355,51.474959
Queensway,-0.18742,51.510449
Rainham,0.190692,51.517341
Ravensbourne,-0.006938,51.41387
Ravenscourt Park,-0.235969,51.494068
Rayners Lane,-0.371061,51.575397
Raynes Park,-0.229913,51.409375
Rectory Road,-0.068386,51.558763
Redbridge,0.045394,51.576367
Reedham,-0.123403,51.331442
Reeves Corner,-0.10638,51.375277
